time,subTotalMins
0000,126925
0030,124960
0100,122916
0130,120916
0200,119688
0230,117842
0300,116057
0330,115049
0400,115018
0430,114752
0500,114857
0530,115675
0600,117425
0630,119745
0700,123259
0730,128367
0800,133822
0830,138429
0900,143568
0930,148024
1000,150354
1030,151535
1100,151055
1130,149181
1200,146747
1230,145235
1300,143780
1330,142142
1400,139126
1430,137623
1500,136040
1530,134685
1600,132857
1630,131399
1700,130256
1730,131111
1800,131922
1830,133416
1900,135573
1930,136207
2000,136990
2030,137175
2100,135606
2130,135092
2200,134507
2230,133467
2300,131503
2330,128737
